masse_A
t;x;y
1,392346667E1;-2,269618351E-2;1,720360136E-2
1,394014444E1;-2,279980063E-2;1,716682440E-2
1,395678889E1;-2,279555734E-2;1,721987048E-2
1,397345556E1;-2,280842692E-2;1,719876538E-2
1,399013333E1;-2,287746356E-2;1,718473787E-2
1,400677778E1;-2,286919356E-2;1,720060607E-2
1,402343333E1;-2,288462116E-2;1,720544895E-2
1,404011111E1;-2,289861296E-2;1,721731277E-2
1,405676667E1;-2,290097833E-2;1,721044288E-2
1,407343333E1;-2,290052171E-2;1,721034640E-2
1,409010000E1;-2,290231425E-2;1,721378141E-2
1,410675556E1;-2,290103056E-2;1,721325331E-2
1,412342222E1;-2,291003825E-2;1,721349178E-2
1,414012222E1;-2,290452174E-2;1,721538628E-2
1,415673333E1;-2,290442788E-2;1,721495588E-2
1,417341111E1;-2,290332702E-2;1,721430681E-2
1,419007778E1;-2,290487474E-2;1,721419344E-2
1,420673333E1;-2,290295671E-2;1,721313105E-2
1,422338889E1;-2,290873590E-2;1,721856378E-2
1,424005556E1;-2,290473656E-2;1,721602622E-2
1,425672222E1;-2,291071643E-2;1,720911602E-2
1,427338889E1;-2,290642304E-2;1,721977438E-2
1,429003333E1;-2,290355546E-2;1,721642496E-2
1,430671111E1;-2,290263428E-2;1,721436778E-2
1,432337778E1;-2,291301730E-2;1,721064126E-2
1,434003333E1;-2,292024605E-2;1,720565777E-2
1,435670000E1;-2,290615584E-2;1,724926166E-2
1,437338889E1;-2,277935078E-2;1,718700980E-2
1,439004444E1;-2,295763744E-2;1,712166424E-2
1,440672222E1;-2,287427879E-2;1,714353661E-2
1,442334444E1;-2,291402587E-2;1,715188217E-2
1,444002222E1;-2,290327101E-2;1,714038478E-2
1,445667778E1;-2,290319839E-2;1,712153754E-2
1,447333333E1;-2,291858485E-2;1,710525666E-2
1,449001111E1;-2,290193391E-2;1,711380682E-2
1,450666667E1;-2,291681942E-2;1,711204416E-2
