masse_A
t;x;y;frame
1,365551111E1;-1,729990621E2;3,806047974E2;8,180000000E2
1,367216667E1;-1,730244215E2;3,805945261E2;8,190000000E2
1,368883333E1;-1,730405701E2;3,805868593E2;8,200000000E2
1,370550000E1;-1,730412827E2;3,806434124E2;8,210000000E2
1,372217778E1;-1,731181888E2;3,807427066E2;8,220000000E2
1,373882222E1;-1,731062673E2;3,807665561E2;8,230000000E2
1,375548889E1;-1,731377005E2;3,807185153E2;8,240000000E2
1,377214444E1;-1,732668843E2;3,806785416E2;8,250000000E2
1,378881111E1;-1,731943290E2;3,807128673E2;8,260000000E2
1,380547778E1;-1,731433639E2;3,806973911E2;8,270000000E2
1,382213333E1;-1,731474895E2;3,806732695E2;8,280000000E2
1,383878889E1;-1,731081201E2;3,806216093E2;8,290000000E2
1,385547778E1;-1,730702212E2;3,805796537E2;8,300000000E2
1,387213333E1;-1,730647809E2;3,806040477E2;8,310000000E2
1,388877778E1;-1,730262645E2;3,806165452E2;8,320000000E2
1,390544444E1;-1,730263997E2;3,805633501E2;8,330000000E2
1,392212222E1;-1,730190380E2;3,805446775E2;8,340000000E2
1,393876667E1;-1,730211294E2;3,805554028E2;8,350000000E2
1,395544444E1;-1,730199724E2;3,805518830E2;8,360000000E2
1,397211111E1;-1,730249315E2;3,805424864E2;8,370000000E2
1,398877778E1;-1,730540071E2;3,805889283E2;8,380000000E2
1,400543333E1;-1,731473350E2;3,806353180E2;8,390000000E2
1,402208889E1;-1,731699331E2;3,806353546E2;8,400000000E2
1,403874444E1;-1,731485716E2;3,806658156E2;8,410000000E2
1,405542222E1;-1,731778966E2;3,808320648E2;8,420000000E2
1,407207778E1;-1,731666985E2;3,807088166E2;8,430000000E2
1,408875556E1;-1,733070022E2;3,807007767E2;8,440000000E2
1,410541111E1;-1,732918369E2;3,806110486E2;8,450000000E2
1,412206667E1;-1,731672749E2;3,806348540E2;8,460000000E2
1,413874444E1;-1,731130546E2;3,806404431E2;8,470000000E2
1,415556667E1;-1,730885032E2;3,806255127E2;8,480000000E2
1,417206667E1;-1,730296309E2;3,805551231E2;8,490000000E2
1,418874444E1;-1,729970696E2;3,805518096E2;8,500000000E2
1,420537778E1;-1,729995197E2;3,805365430E2;8,510000000E2
1,422204444E1;-1,729827181E2;3,805434364E2;8,520000000E2
1,423870000E1;-1,729589022E2;3,805714723E2;8,530000000E2
1,425537778E1;-1,729640892E2;3,805444438E2;8,540000000E2
1,427203333E1;-1,729855925E2;3,806110055E2;8,550000000E2
1,428868889E1;-1,730246543E2;3,806184850E2;8,560000000E2
